"","idigbio.uuid","dwc.genus","dwc.specificEpithet","dwc.institutionCode","dwc.catalogNumber"
"1","41f76321-ebf6-4b33-b4ff-c88d39445a98","Holothuria","","MCZ","HOL-1208"
"2","75093908-94c0-4fa2-be12-d060d0d02390","Holothuria","","FLMNH","13673-Echinodermata"
"3","d4fda3a1-7333-4419-a0aa-dee88f04a46b","Holothuria","","FLMNH","14571-Echinodermata"
"4","5a15e1fb-e020-4d39-8606-2d0ee4513c83","Holothuria","","FLMNH","985-Echinodermata"
"5","3416e5e0-934c-47e7-ab09-fe2b6591f94f","Holothuria","","FLMNH","8729-Echinodermata"
"6","00e22a58-4c00-4c22-a165-9ed436c65270","Holothuria","","CAS","184130"
"7","5c2e89b9-b4df-4cba-86b7-b03f3259aa9c","Holothuria","","FLMNH","14984-Echinodermata"
"8","a442e178-6aea-40ed-9d87-f3089911016d","Holothuria","","FLMNH","10340-Echinodermata"
"9","cac1fe49-678b-4813-9722-d2ae1bee930a","Holothuria","","FLMNH","4256-Echinodermata"
"10","e1f701c1-39d0-48cc-b1eb-ebddf7dbf241","Holothuria","","FLMNH","7286-Echinodermata"
"11","27476d0c-0fb5-41b1-afd1-3560f68a31bc","Holothuria","","FLMNH","10320-Echinodermata"
"12","fd748151-35f1-4df8-a2a1-e43c26559c2e","Holothuria","","FLMNH","12076-Echinodermata"
"13","ef78a4c3-ef71-4ca2-bc09-7dfb2aa2272c","Holothuria","","FLMNH","11757-Echinodermata"
"14","2cf532f2-5f6c-47c1-b02c-3e78111783da","Holothuria","","FLMNH","1770-Echinodermata"
"15","b002db43-3ec3-450a-ae4c-5b099aaa7adc","Holothuria","","FLMNH","1757-Echinodermata"
"16","1cd25453-14b5-40cf-8160-c8b18a848ea6","Holothuria","","FLMNH","11231-Echinodermata"
"17","ced7c4d7-fe06-48c1-a818-aabf93607fd1","Holothuria","","FLMNH","6248-Echinodermata"
"18","fe5806e1-3f43-4048-90e5-82d79c2955ea","Holothuria","","CAS","111383"
"19","77f9cfb1-ecb2-4777-afab-3323fd328849","Holothuria","","FLMNH","11232-Echinodermata"
"20","25820287-b3a2-46a9-bd4e-e6c993908a73","Holothuria","","FLMNH","11758-Echinodermata"
"21","acadf538-7189-4517-b6f7-33f616b6f267","Holothuria","","FLMNH","5129-Echinodermata"
"22","49f9ed67-8fad-49a1-94d4-3fd626f4fa95","Holothuria","","CAS","125699"
"23","d2a2b298-3bc0-4d81-8b49-d3195e30f0bc","Holothuria","","FLMNH","15458-Echinodermata"
"24","51be8ad3-66e8-40dc-ad5d-0062d64509dc","Holothuria","","FLMNH","15468-Echinodermata"
"25","5a264aad-f6b3-4aa9-877e-f61ea969a44e","Holothuria","","FLMNH","1878-Echinodermata"
"26","61379bbf-7f44-4a2c-a9ce-edf884a2e863","Holothuria","","FLMNH","16110-Echinodermata"
"27","fc7d041e-e14a-4e69-ab6b-1d71efd7c7cc","Holothuria","","FLMNH","1877-Echinodermata"
"28","c111e3c9-9008-4d18-9c10-3c944c40f4d1","Holothuria","","FLMNH","7862-Echinodermata"
"29","e8e4837f-85dd-4e4f-a417-3557e8229f04","Holothuria","","FLMNH","12505-Echinodermata"
"30","9c2c4072-1ab6-4ec8-afd4-1caefd7f87a4","Holothuria","","MCZ","HOL-871"
"31","a61dd900-74b1-49a3-8fb9-042290d1d2ef","Holothuria","","CAS","111364"
"32","86f2925c-16c0-4b88-ada2-4bcad6e61798","Holothuria","","FLMNH","13339-Echinodermata"
"33","0b3ab0f6-a4b7-4b6b-9731-b6fb73169fdb","Holothuria","","FLMNH","16114-Echinodermata"
"34","d3db26ce-7717-45d8-a4b1-2c2afeeef553","Holothuria","","CAS","141529"
"35","eb737cff-9ca3-4812-9f78-ac08c036d00e","Holothuria","","CAS","199547"
"36","3b3721b6-2d9c-408f-b4b3-81bcbb1f5b2c","Holothuria","","FLMNH","13659-Echinodermata"
"37","8f254475-c8c7-410a-bf7e-d48f7b55e44c","Holothuria","","YPM","YPM IZ 000929.EC"
"38","9e7d3493-a0ae-4cf9-bd8f-254f0eb026d8","Holothuria","","FLMNH","11114-Echinodermata"
"39","09be5616-38c9-4e3a-b3d2-9639ba0e201b","Holothuria","","FLMNH","6667-Echinodermata"
"40","b851ab72-7b7a-44b3-bba9-3a35f526ec1d","Holothuria","","FLMNH","12286-Echinodermata"
"41","01825bf3-3a7c-4906-9be8-beb190473444","Holothuria","","FLMNH","7586-Echinodermata"
"42","5a3e5f1f-327c-475d-99f4-7d745f8e1579","Holothuria","","FLMNH","1586-Echinodermata"
"43","dbcb585b-a288-4fd7-9df3-231982f248c2","Holothuria","","FLMNH","7285-Echinodermata"
"44","05aef29b-3e93-4789-8186-56db6d88ac99","Holothuria","","FLMNH","15172-Echinodermata"
